lexeme_id,lemma,pos,cefr_level,review_priority,alignment_decision,import_eligibility,review_status,reviewer,reviewed_at,notes
10134,projecteur,NOM,B2,P2,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
10194,prose,NOM,B2,P2,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
10414,puiser,VER,B2,P2,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
10457,pâture,NOM,B2,P2,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
10581,quitter,VER,A1,P0,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
10610,racket,NOM,B2,P2,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
10631,radium,NOM,C1,P3,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
10718,raser,VER,B2,P2,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
10873,regarder,VER,A1,P0,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
11053,respect,NOM,B1,P1,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
11095,retardataire,NOM,B2,P2,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
11163,riche,NOM,B1,P1,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
11202,rive,NOM,A2,P0,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
11403,rédemption,NOM,C1,P3,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
11501,répression,NOM,B2,P2,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
11503,réprimer,VER,B2,P2,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
11534,résine,NOM,C1,P3,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
11708,sapin,NOM,A1,P0,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
11716,satellite,NOM,B2,P2,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
11739,sauter,VER,A2,P0,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
11747,sauvetage,NOM,C1,P3,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
11815,secouer,VER,B1,P1,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
11817,secours,NOM,B1,P1,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
11830,sein,NOM,B1,P1,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
12072,sommeil,NOM,A2,P0,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
12077,somnolence,NOM,C1,P3,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
12133,souhait,NOM,B1,P1,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
